student_id,plan_key,major,degree_type,admission_year,needs_rem_arabic,needs_rem_english,needs_rem_math,status,semesters_taken,final_cum_gpa,total_passed_hrs
202100001,CS_Bachelor,CS,Bachelor,2021,False,False,False,Active,9,2.99,132
202100002,AI_Bachelor,AI,Bachelor,2021,False,False,False,Active,11,2.95,129
202200003,Cyber_Technical,Cyber,Technical,2022,False,True,False,Active,10,2.89,99
201900004,CS_Technical,CS,Technical,2019,True,True,False,Graduated,8,2.94,105
202100005,AI_Technical,AI,Technical,2021,True,False,True,Graduated,10,2.93,108
202400006,AI_Technical,AI,Technical,2024,False,False,False,Active,4,3.11,43
202400007,CS_Technical,CS,Technical,2024,False,False,False,Active,4,2.96,49
202100008,CS_Technical,CS,Technical,2021,False,False,False,Graduated,9,2.92,105
202300009,AI_Bachelor,AI,Bachelor,2023,False,False,False,Active,5,2.9,75
202200010,AI_Technical,AI,Technical,2022,False,False,False,Active,9,3.0,102
202100011,Cyber_Bachelor,Cyber,Bachelor,2021,False,False,False,Active,10,3.02,132
202300012,CS_Technical,CS,Technical,2023,True,False,False,Active,6,2.81,61
202300013,Cyber_Technical,Cyber,Technical,2023,False,False,False,Active,7,3.07,79
202100014,AI_Technical,AI,Technical,2021,False,True,False,Graduated,10,2.88,108
202500015,AI_Technical,AI,Technical,2025,False,False,False,Active,1,2.86,14
201900016,AI_Technical,AI,Technical,2019,False,True,False,Graduated,11,3.03,108
202500017,AI_Bachelor,AI,Bachelor,2025,False,False,False,Active,1,2.35,14
202400018,AI_Technical,AI,Technical,2024,False,False,True,Active,4,2.58,36
202100019,Cyber_Technical,Cyber,Technical,2021,False,False,False,Graduated,10,3.21,105
202100020,CS_Technical,CS,Technical,2021,False,False,False,Graduated,10,2.96,105
202000021,Cyber_Technical,Cyber,Technical,2020,False,False,False,Graduated,9,2.8,105
202200022,CS_Bachelor,CS,Bachelor,2022,False,False,False,Active,8,3.05,99
201900023,Cyber_Technical,Cyber,Technical,2019,False,False,False,Graduated,8,2.94,105
202400024,CS_Bachelor,CS,Bachelor,2024,True,True,False,Active,4,3.02,54
202500025,AI_Technical,AI,Technical,2025,False,True,False,Active,1,3.28,10
202200026,Cyber_Technical,Cyber,Technical,2022,True,False,False,Active,8,2.98,99
202300027,Cyber_Technical,Cyber,Technical,2023,False,False,False,Active,7,3.12,90
202400028,AI_Bachelor,AI,Bachelor,2024,False,False,False,Active,3,2.99,41
202400029,CS_Technical,CS,Technical,2024,True,False,True,Active,4,3.38,40
202200030,CS_Bachelor,CS,Bachelor,2022,False,False,False,Active,10,3.01,105
202300031,Cyber_Bachelor,Cyber,Bachelor,2023,False,False,True,Active,6,3.05,63
202300032,AI_Bachelor,AI,Bachelor,2023,True,True,True,Active,6,2.71,56
201900033,CS_Technical,CS,Technical,2019,False,False,False,Graduated,10,2.87,105
