"course_code","prereq_code","allow_concurrent"
"0030301111","0030301110",False
"0030301121","0030301120",False
"0030301122","0030301121",False
"0030301123","0030301122",False
"0040302211","0040302111",False
"0040302211","0030301122",False
"0040302231","0040302211",False
"0040302231","0030301123",False
"0040201100","0040303130",False
"0040201290","0040302211",False
"0030303111","0030303110",False
"0040303121","0030303111",False
"0040303221","0040303121",False
"0040303221","0040201201",True
"0040201201","0040201100",False
"0040201220","0040201100",False
"0040201341","0040201201",False
"0000201391","0040201290",False
"0010203180","0040303130",False
"0000203280","0040303130",False
"0010204210","0040303130",False
"0010204250","0040303121",False
"0000204280","0040303121",False
"0010204281","0040201100",False
"0010204282","0040201100",False
"0000204310","0040201100",False
"0000204311","0000204310",False
"0000204313","0010204282",False
"0010204350","0010204210",False
"0010204350","0000204280",False
"0000204291","0000204290",False
"0000204391","0000204291",False
