"course_code","prereq_code","allow_concurrent"
"0030301111","0030301110",False
"0030301121","0030301120",False
"0030301122","0030301121",False
"0030301123","0030301122",False
"0030301124","0030301123",False
"0040302211","0040302111",False
"0040302211","0030301122",False
"0040302231","0040302211",False
"0040302231","0030301123",False
"0030302232","0040302231",False
"0040201100","0040303130",False
"0040201290","0040302211",False
"0030303111","0030303110",False
"0040303121","0030303111",False
"0040303221","0040303121",False
"0040303221","0040201201",True
"0040201200","0040201100",False
"0040201201","0040201100",False
"0040201220","0040201100",False
"0040201260","0040201100",False
"0040201261","0040201220",False
"0040201321","0040201220",False
"0040201341","0040201201",False
"0040201360","0040201261",False
"0000201391","0040201290",False
"0010203180","0040303130",False
"0000203280","0040303130",False
"0010203380","0040201100",False
"0010203380","0040303221",True
"0010204282","0040201100",False
"0000204313","0010204282",False
"0040201320","0040201360",False
"0040201362","0040201100",False
"0040201430","0010204282",False
"0040201430","0040201201",False
"0040201440","0040201341",False
"0040201491","0000201391",False
"0040201492","0040201491",False
"0000201292","0000201291",False
"0000201392","0000201292",False
