student_id,plan_key,major,degree_type,admission_year,needs_rem_arabic,needs_rem_english,needs_rem_math,status,semesters_taken,final_cum_gpa,total_passed_hrs
202400001,Cyber_Technical,Cyber,Technical,2024,True,False,False,Active,4,2.78,46
202400002,AI_Technical,AI,Technical,2024,False,False,True,Active,4,2.88,37
201900003,Cyber_Bachelor,Cyber,Bachelor,2019,False,False,False,Graduated,15,3.15,135
202300004,AI_Bachelor,AI,Bachelor,2023,False,False,False,Active,7,2.92,67
202000005,AI_Technical,AI,Technical,2020,False,True,False,Graduated,12,2.95,108
202300006,CS_Technical,CS,Technical,2023,True,False,False,Active,7,2.98,77
202300007,CS_Bachelor,CS,Bachelor,2023,False,False,False,Active,6,3.03,72
202000008,Cyber_Technical,Cyber,Technical,2020,False,True,False,Graduated,10,2.94,105
202200009,AI_Technical,AI,Technical,2022,False,True,True,Active,9,2.97,105
202300010,AI_Bachelor,AI,Bachelor,2023,False,False,False,Active,7,2.98,79
202200011,AI_Bachelor,AI,Bachelor,2022,False,False,False,Active,9,2.94,99
202400012,CS_Bachelor,CS,Bachelor,2024,True,True,False,Active,3,2.71,36
202000013,Cyber_Technical,Cyber,Technical,2020,False,False,False,Graduated,12,3.05,105
202300014,AI_Technical,AI,Technical,2023,True,False,False,Active,7,3.05,69
202400015,AI_Technical,AI,Technical,2024,False,False,True,Active,3,2.99,42
202500016,Cyber_Bachelor,Cyber,Bachelor,2025,False,False,False,Active,1,3.14,13
202500017,Cyber_Bachelor,Cyber,Bachelor,2025,False,False,False,Active,1,3.36,15
202200018,CS_Bachelor,CS,Bachelor,2022,False,False,False,Active,9,2.89,102
202300019,CS_Technical,CS,Technical,2023,False,False,False,Active,6,2.95,70
202100020,Cyber_Technical,Cyber,Technical,2021,False,False,False,Graduated,11,2.92,105
201900021,AI_Bachelor,AI,Bachelor,2019,False,False,False,Graduated,14,2.91,138
202400022,Cyber_Technical,Cyber,Technical,2024,False,False,False,Active,4,3.29,46
202500023,AI_Technical,AI,Technical,2025,True,False,False,Active,1,2.8,14
202100024,Cyber_Bachelor,Cyber,Bachelor,2021,False,False,False,Active,10,2.95,123
202300025,Cyber_Bachelor,Cyber,Bachelor,2023,False,False,False,Active,5,3.32,68
202400026,AI_Technical,AI,Technical,2024,False,True,False,Active,4,2.87,46
201900027,Cyber_Technical,Cyber,Technical,2019,False,False,False,Graduated,11,2.87,105
202500028,Cyber_Technical,Cyber,Technical,2025,False,False,False,Active,1,3.0,16
202400029,AI_Technical,AI,Technical,2024,True,True,False,Active,4,2.94,49
202200030,Cyber_Bachelor,Cyber,Bachelor,2022,False,False,False,Active,9,2.95,101
202100031,Cyber_Technical,Cyber,Technical,2021,False,False,False,Graduated,10,2.88,105
202200032,AI_Technical,AI,Technical,2022,False,False,False,Active,7,3.22,96
202300033,Cyber_Bachelor,Cyber,Bachelor,2023,False,False,True,Active,6,2.79,79
202100034,Cyber_Technical,Cyber,Technical,2021,False,False,False,Graduated,12,2.93,105
202100035,CS_Technical,CS,Technical,2021,False,False,False,Graduated,8,2.93,105
202200036,Cyber_Bachelor,Cyber,Bachelor,2022,False,False,True,Active,9,2.98,99
202500037,Cyber_Technical,Cyber,Technical,2025,False,False,False,Active,1,3.0,16
202300038,CS_Bachelor,CS,Bachelor,2023,False,False,False,Active,6,2.97,74
202500039,CS_Bachelor,CS,Bachelor,2025,False,True,True,Active,1,2.77,15
202300040,CS_Technical,CS,Technical,2023,False,True,False,Active,7,3.03,79
202400041,CS_Technical,CS,Technical,2024,True,False,False,Active,4,3.18,49
202000042,AI_Technical,AI,Technical,2020,False,False,False,Graduated,11,2.58,108
202400043,CS_Bachelor,CS,Bachelor,2024,False,False,False,Active,3,2.83,41
201900044,CS_Bachelor,CS,Bachelor,2019,False,False,False,Graduated,11,2.89,135
202100045,Cyber_Bachelor,Cyber,Bachelor,2021,False,False,False,Active,10,3.19,126
202100046,AI_Bachelor,AI,Bachelor,2021,False,False,False,Active,12,2.9,123
202300047,CS_Technical,CS,Technical,2023,False,True,True,Active,5,3.21,64
202300048,AI_Bachelor,AI,Bachelor,2023,False,True,False,Active,7,2.84,77
201900049,Cyber_Bachelor,Cyber,Bachelor,2019,False,False,False,Graduated,12,3.03,135
202200050,CS_Technical,CS,Technical,2022,False,False,False,Active,8,3.0,91
202300051,CS_Bachelor,CS,Bachelor,2023,False,True,False,Active,5,3.25,60
202300052,Cyber_Technical,Cyber,Technical,2023,False,True,False,Active,5,2.93,59
202000053,CS_Technical,CS,Technical,2020,True,False,False,Graduated,9,2.97,105
202200054,Cyber_Bachelor,Cyber,Bachelor,2022,False,False,False,Active,8,3.13,105
